image_path,file_exists,status,bytes,asset_id,profile_id,profile_name,name,description,file_id,filename,mime_type,service_date,historical_cost,valuation_cost,is_disposed,updated,attr_Abutment Material,attr_Adjacent Slope,attr_Area,attr_Bldg Number of Months in Use,attr_Bridge Type,attr_Cross Slope Average,attr_Cross Slope Max,attr_Decking Material,attr_Distance Between Benches,attr_Fall Height,attr_GIS ID,attr_Has Edge Guard,attr_Has Pedestrian Railing,attr_Has Pedestrian Walkway,attr_Height,attr_Last Inspection by Qualified Professional,attr_Length,attr_Load Capacity,attr_Manufacturer,"attr_Material (Frame, Tank, Body)",attr_Next Inspection by Qualified Professional,attr_Next Inspection by Staff,attr_Number of Steps,attr_Obstacle Max Height,attr_PO2026 Agrmt Priority,attr_Pipe Diameter,attr_Quantity of Shots,attr_Sign Mount Type,attr_Structure Material,attr_Structure Position,attr_Surface Material,attr_Tent Pad Type,attr_Tool Station Available,attr_Trail Gradient Average,attr_Trail Gradient Max,attr_Trail Surface Description,attr_Trail Use Type,attr_Trail Width Average,attr_Trail Width Minimum,attr_Vehicle Access,attr_Width,attr_acs Accessible Priority,attr_acs Is Asset Accessible,attr_acs Is the Route to the Asset Accessible
data/citywide/images/337/48119/86268__AST_EX_20250807_142000.jpeg,True,skip,122890,48119,337,Boardwalk < 1.2m High,Boardwalk,Indian Point - Isaac Lake,86268,AST_EX_20250807_142000.jpeg,image/jpeg,2006-01-01,2957.0,3600.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1.00,structures.48119,No,No railings,,1.50,,8.00,,,Timber/Wood,,2028-08-07,,,med,,,,Timber,,,,,,,,,,,,1.50,TBD,No,No
data/citywide/images/337/48120/12529__MI_20210809_122601.jpg,True,skip,7753034,48120,337,Boardwalk < 1.2m High,Boardwalk,Kibbee Lk - Indian Point,12529,MI_20210809_122601.jpg,image/jpeg,2006-01-01,2957.0,3600.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1,structures.48120,No,No railings,,1,,10,,,Timber/Wood,,2026-05-01,,,med,,,,Timber,,,,,,,,,,,,1.5,TBD,No,No
data/citywide/images/337/48121/86240__AST_EX_20250808_133154.jpeg,True,skip,132649,48121,337,Boardwalk < 1.2m High,Boardwalk,Isaac River Trail Type Ii,86240,AST_EX_20250808_133154.jpeg,image/jpeg,2006-01-01,2217.0,2700.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1.00,structures.48121,No,No railings,,1.00,,6.00,,,Timber/Wood,,2028-08-08,,,med,,,,Timber,,,,,,,,,,,,0.00,TBD,TBD,TBD
data/citywide/images/337/48637/27383__AST_EX_20211013_101432.jpeg,True,skip,142239,48637,337,Boardwalk < 1.2m High,Boardwalk,Cape Scott Hiking Trail; Item description: FISHERMANS BOARDWALK;,27383,AST_EX_20211013_101432.jpeg,image/jpeg,2001-01-01,6066.0,8100.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1,structures.48637,No,No railings,,1,,18,,,Timber/Wood,,2026-05-01,,,med,,,,Timber,,,,,,,,,,,,0.00,TBD,TBD,TBD
data/citywide/images/337/48934/15282__AST_EX_20210811_144938.jpeg,True,skip,1106281,48934,337,Boardwalk < 1.2m High,Boardwalk,Boardwalk,15282,AST_EX_20210811_144938.jpeg,image/jpeg,1989-01-01,15584.0,27900.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1,structures.48934,No,No railings,,1,,62,,,Timber/Wood,,2026-05-01,,,med,,,,Timber,,,,,,,,,,,,0,TBD,TBD,TBD
data/citywide/images/337/48514/41791__lake_trail_boardwalk.JPG,True,skip,11899948,48514,337,Boardwalk < 1.2m High,Boardwalk on lake trail,"Short wood boardwalk over muddy/wet section of lake trail, 2"" X 4"" wood decking 3m wide",41791,lake trail boardwalk.JPG,image/jpeg,2020-06-06,300.0,300.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1,structures.48514,No,No railings,,1,,10.668,,,Timber/Wood,,2029-01-15,,,Not Applicable,,,,Timber,,,,,,,,,,,,3,TBD,Yes,No
data/citywide/images/337/48634/27385__AST_EX_20211013_101620.jpeg,True,skip,139330,48634,337,Boardwalk < 1.2m High,Boardwalk,"Cape Scott Backcountry; Item description: BOARDWALK: (NELS BIGHT TO DONALDSONS FARM); Specifications: elevated WOOD BOARD -WALK, NELS BIGHT TO DONALDSONS FARM. ; Comments: ALL MATERIALS flown in",27385,AST_EX_20211013_101620.jpeg,image/jpeg,1992-01-01,160824.0,250000.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1,structures.48634,No,No railings,,1,,2300,,,Timber/Wood,,2026-05-01,,,med,,,,Timber,,,,,,,,,,,,0.00,TBD,TBD,TBD
data/citywide/images/337/48934/15283__AST_EX_20210811_144911.jpeg,True,skip,1247406,48934,337,Boardwalk < 1.2m High,Boardwalk,Boardwalk,15283,AST_EX_20210811_144911.jpeg,image/jpeg,1989-01-01,15584.0,27900.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1,structures.48934,No,No railings,,1,,62,,,Timber/Wood,,2026-05-01,,,med,,,,Timber,,,,,,,,,,,,0,TBD,TBD,TBD
data/citywide/images/337/48933/15279__AST_EX_20210811_144952.jpeg,True,skip,1388385,48933,337,Boardwalk < 1.2m High,Boardwalk,Boardwalk,15279,AST_EX_20210811_144952.jpeg,image/jpeg,1998-01-01,33568.0,46800.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1,structures.48933,No,No railings,,1,,104,,,Timber/Wood,,2027-01-25,,,med,,,,Timber,,,,,,,,,,,,0,TBD,TBD,TBD
data/citywide/images/337/48935/15280__AST_EX_20210811_144721.jpeg,True,skip,1182910,48935,337,Boardwalk < 1.2m High,Boardwalk,Boardwalk,15280,AST_EX_20210811_144721.jpeg,image/jpeg,1983-01-01,8576.0,18900.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1,structures.48935,No,No railings,,1,,42,,,Timber/Wood,,2027-01-25,,,med,,,,Timber,,,,,,,,,,,,0,TBD,TBD,TBD
data/citywide/images/337/49689/57741__AST_EX_20220804_124755.jpeg,True,skip,73280,49689,337,Boardwalk < 1.2m High,Boardwalk,HOLT CREEK TO RIVERSIDE PARK,57741,AST_EX_20220804_124755.jpeg,image/jpeg,2006-01-01,44348.0,54000.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1,structures.49689,No,No railings,,1,,120,,,Timber/Wood,,2025-08-04,,,med,,,,Timber,,,,,,,,,,,,0.00,TBD,TBD,TBD
data/citywide/images/337/48936/15286__AST_EX_20210811_144036.jpeg,True,skip,1155570,48936,337,Boardwalk < 1.2m High,Boardwalk,Boardwalk,15286,AST_EX_20210811_144036.jpeg,image/jpeg,1990-01-01,5842.0,9900.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1,structures.48936,No,No railings,,1,,22,,,Timber/Wood,,2027-01-25,,,med,,,,Timber,,,,,,,,,,,,0,TBD,TBD,TBD
data/citywide/images/337/50513/42056__AST_EX_20220511_124819.jpeg,True,skip,179718,50513,337,Boardwalk < 1.2m High,Boardwalk,Dahl Lake Day Use,42056,AST_EX_20220511_124819.jpeg,image/jpeg,2006-01-01,1109.0,1350.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1,structures.50513,No,No railings,,1,,3,,,Timber/Wood,,2028-05-07,,,Not Applicable,,,,Timber,,,,,,,,,,,,0,TBD,TBD,TBD
data/citywide/images/337/50513/42057__AST_EX_20220511_124829.jpeg,True,skip,181482,50513,337,Boardwalk < 1.2m High,Boardwalk,Dahl Lake Day Use,42057,AST_EX_20220511_124829.jpeg,image/jpeg,2006-01-01,1109.0,1350.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1,structures.50513,No,No railings,,1,,3,,,Timber/Wood,,2028-05-07,,,Not Applicable,,,,Timber,,,,,,,,,,,,0,TBD,TBD,TBD
data/citywide/images/337/51255/70478__MI_20240629_131154.jpg,True,skip,982278,51255,337,Boardwalk < 1.2m High,Boardwalk,"in campground, 1M WIDE",70478,MI_20240629_131154.jpg,image/jpeg,1994-01-01,9257.0,13500.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1,structures.51255,No,No railings,,1,,30,,,Timber/Wood,,2027-06-29,,,med,,,,Timber,,,,,,,,,,,,0,TBD,TBD,TBD
data/citywide/images/337/51254/82202__PXL_20250516_175632212.jpg,True,skip,6378749,51254,337,Boardwalk < 1.2m High,Boardwalk,170 M; 70 METERS OF TIMBER AND PLANK BOARDWALK,82202,PXL_20250516_175632212.jpg,image/jpeg,1992-01-01,49212.0,76500.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1,structures.51254,No,No railings,,1,,170,,,Timber/Wood,,2026-05-01,,,med,,,,Timber,,,,,,,,,,,,0,TBD,TBD,TBD
data/citywide/images/337/51256/69944__AST_EX_20240623_084827.jpeg,True,skip,150137,51256,337,Boardwalk < 1.2m High,Boardwalk,5M Board Walk Located On Trail to Campsite,69944,AST_EX_20240623_084827.jpeg,image/jpeg,1999-01-01,6469.0,9000.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1,structures.51256,No,No railings,,1,,20,,,Timber/Wood,,2027-06-22,,,Not Applicable,,,,Timber,,,,,,,,,,,,0,TBD,TBD,TBD
data/citywide/images/337/51256/70003__AST_EX_20240622_123305.jpeg,True,skip,171255,51256,337,Boardwalk < 1.2m High,Boardwalk,5M Board Walk Located On Trail to Campsite,70003,AST_EX_20240622_123305.jpeg,image/jpeg,1999-01-01,6469.0,9000.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1,structures.51256,No,No railings,,1,,20,,,Timber/Wood,,2027-06-22,,,Not Applicable,,,,Timber,,,,,,,,,,,,0,TBD,TBD,TBD
data/citywide/images/337/51256/69958__AST_EX_20240623_084753.jpeg,True,skip,172303,51256,337,Boardwalk < 1.2m High,Boardwalk,5M Board Walk Located On Trail to Campsite,69958,AST_EX_20240623_084753.jpeg,image/jpeg,1999-01-01,6469.0,9000.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1,structures.51256,No,No railings,,1,,20,,,Timber/Wood,,2027-06-22,,,Not Applicable,,,,Timber,,,,,,,,,,,,0,TBD,TBD,TBD
data/citywide/images/337/51256/70001__AST_EX_20240622_123341.jpeg,True,skip,179154,51256,337,Boardwalk < 1.2m High,Boardwalk,5M Board Walk Located On Trail to Campsite,70001,AST_EX_20240622_123341.jpeg,image/jpeg,1999-01-01,6469.0,9000.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1,structures.51256,No,No railings,,1,,20,,,Timber/Wood,,2027-06-22,,,Not Applicable,,,,Timber,,,,,,,,,,,,0,TBD,TBD,TBD
data/citywide/images/337/51256/70004__AST_EX_20240622_123326.jpeg,True,skip,171211,51256,337,Boardwalk < 1.2m High,Boardwalk,5M Board Walk Located On Trail to Campsite,70004,AST_EX_20240622_123326.jpeg,image/jpeg,1999-01-01,6469.0,9000.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1,structures.51256,No,No railings,,1,,20,,,Timber/Wood,,2027-06-22,,,Not Applicable,,,,Timber,,,,,,,,,,,,0,TBD,TBD,TBD
data/citywide/images/337/51254/53518__IMG_4018.JPG,True,skip,229590,51254,337,Boardwalk < 1.2m High,Boardwalk,170 M; 70 METERS OF TIMBER AND PLANK BOARDWALK,53518,IMG_4018.JPG,image/jpeg,1992-01-01,49212.0,76500.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1,structures.51254,No,No railings,,1,,170,,,Timber/Wood,,2026-05-01,,,med,,,,Timber,,,,,,,,,,,,0,TBD,TBD,TBD
data/citywide/images/337/51440/22947__AST_EX_20210921_134402.jpeg,True,skip,111109,51440,337,Boardwalk < 1.2m High,Boardwalk,Echo Bay Marine Service Area; Additional notes: Condemned ; Item description: Walk way to Wharf ;,22947,AST_EX_20210921_134402.jpeg,image/jpeg,1966-01-01,127.0,1000.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1,structures.51440,No,No railings,,1,,10,,,Timber/Wood,,2026-05-01,,,Not Applicable,,,,Timber,,,,,,,,,,,,0.00,TBD,TBD,TBD
data/citywide/images/337/51547/18708__AST_EX_20210826_112435.jpeg,True,skip,561249,51547,337,Boardwalk < 1.2m High,Boardwalk (BWX),46.63m x m |,18708,AST_EX_20210826_112435.jpeg,image/jpeg,2000-01-01,4975.0,6840.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,,,-1,structures.51547,,No railings,,0,2000-01-01,100,,,Timber/Wood,2005-01-01,2026-05-01,,,med,,,,,,,,,,,,,,,,,,,
data/citywide/images/337/51538/1109__AST_EX_20210617_094959.jpeg,True,skip,475258,51538,337,Boardwalk < 1.2m High,Boardwalk,Quinsam R. Nature Trail; Additional notes: Y;,1109,AST_EX_20210617_094959.jpeg,image/jpeg,1999-01-01,9380.0,13050.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1,structures.51538,No,No railings,,1,,29,,,Timber/Wood,,2026-05-01,,,med,,,,Timber,,,,,,,,,,,,0,TBD,TBD,TBD
data/citywide/images/337/51547/18709__AST_EX_20210826_112407.jpeg,True,skip,577878,51547,337,Boardwalk < 1.2m High,Boardwalk (BWX),46.63m x m |,18709,AST_EX_20210826_112407.jpeg,image/jpeg,2000-01-01,4975.0,6840.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,,,-1,structures.51547,,No railings,,0,2000-01-01,100,,,Timber/Wood,2005-01-01,2026-05-01,,,med,,,,,,,,,,,,,,,,,,,
data/citywide/images/337/51547/18707__AST_EX_20210826_112642.jpeg,True,skip,484953,51547,337,Boardwalk < 1.2m High,Boardwalk (BWX),46.63m x m |,18707,AST_EX_20210826_112642.jpeg,image/jpeg,2000-01-01,4975.0,6840.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,,,-1,structures.51547,,No railings,,0,2000-01-01,100,,,Timber/Wood,2005-01-01,2026-05-01,,,med,,,,,,,,,,,,,,,,,,,
data/citywide/images/337/51547/18711__AST_EX_20210826_112301.jpeg,True,skip,592531,51547,337,Boardwalk < 1.2m High,Boardwalk (BWX),46.63m x m |,18711,AST_EX_20210826_112301.jpeg,image/jpeg,2000-01-01,4975.0,6840.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,,,-1,structures.51547,,No railings,,0,2000-01-01,100,,,Timber/Wood,2005-01-01,2026-05-01,,,med,,,,,,,,,,,,,,,,,,,
data/citywide/images/337/51547/18710__AST_EX_20210826_112332.jpeg,True,skip,615927,51547,337,Boardwalk < 1.2m High,Boardwalk (BWX),46.63m x m |,18710,AST_EX_20210826_112332.jpeg,image/jpeg,2000-01-01,4975.0,6840.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,,,-1,structures.51547,,No railings,,0,2000-01-01,100,,,Timber/Wood,2005-01-01,2026-05-01,,,med,,,,,,,,,,,,,,,,,,,
data/citywide/images/337/51603/24212__AST_EX_20210923_125920.jpeg,True,skip,126005,51603,337,Boardwalk < 1.2m High,Boardwalk,Fox Lake; Item description: Boardwalk on Fox Lake Trail;,24212,AST_EX_20210923_125920.jpeg,image/jpeg,1995-01-01,47219.0,67500.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1,structures.51603,No,No,,1,,150,,,Timber/Wood,,2028-08-26,,,med,,,,Timber,,,,,,,,,,,,0,TBD,TBD,TBD
data/citywide/images/337/51547/18706__AST_EX_20210826_113015.jpeg,True,skip,441936,51547,337,Boardwalk < 1.2m High,Boardwalk (BWX),46.63m x m |,18706,AST_EX_20210826_113015.jpeg,image/jpeg,2000-01-01,4975.0,6840.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,,,-1,structures.51547,,No railings,,0,2000-01-01,100,,,Timber/Wood,2005-01-01,2026-05-01,,,med,,,,,,,,,,,,,,,,,,,
data/citywide/images/337/51602/24215__AST_EX_20210923_131155.jpeg,True,skip,140599,51602,337,Boardwalk < 1.2m High,Boardwalk,West Elk Pass Trail; Specifications: VARIOUS LOCATIONS ; Comments: BOARDWALK WAS INTRODUCED TO LOCATIONS WHERE YEAR ROUND WATER EXISTS.,24215,AST_EX_20210923_131155.jpeg,image/jpeg,1995-01-01,150785.0,215550.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1,structures.51602,No,No,,1,,479,,,Timber/Wood,,2028-08-26,,,med,,,,Timber,,,,,,,,,,,,0,TBD,TBD,TBD
data/citywide/images/337/51603/24216__AST_EX_20210923_125846.jpeg,True,skip,119770,51603,337,Boardwalk < 1.2m High,Boardwalk,Fox Lake; Item description: Boardwalk on Fox Lake Trail;,24216,AST_EX_20210923_125846.jpeg,image/jpeg,1995-01-01,47219.0,67500.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1,structures.51603,No,No,,1,,150,,,Timber/Wood,,2028-08-26,,,med,,,,Timber,,,,,,,,,,,,0,TBD,TBD,TBD
data/citywide/images/337/51603/87633__AST_EX_20250826_101822.jpeg,True,skip,148566,51603,337,Boardwalk < 1.2m High,Boardwalk,Fox Lake; Item description: Boardwalk on Fox Lake Trail;,87633,AST_EX_20250826_101822.jpeg,image/jpeg,1995-01-01,47219.0,67500.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1,structures.51603,No,No,,1,,150,,,Timber/Wood,,2028-08-26,,,med,,,,Timber,,,,,,,,,,,,0,TBD,TBD,TBD
data/citywide/images/337/51603/24222__AST_EX_20210923_130140.jpeg,True,skip,134235,51603,337,Boardwalk < 1.2m High,Boardwalk,Fox Lake; Item description: Boardwalk on Fox Lake Trail;,24222,AST_EX_20210923_130140.jpeg,image/jpeg,1995-01-01,47219.0,67500.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1,structures.51603,No,No,,1,,150,,,Timber/Wood,,2028-08-26,,,med,,,,Timber,,,,,,,,,,,,0,TBD,TBD,TBD
data/citywide/images/337/52128/59838__AST_EX_20220810_113210.jpeg,True,skip,127526,52128,337,Boardwalk < 1.2m High,Trail Bridge,"Flores Island Hiking Trail; Additional notes: 2430mm span, 250mm width x 900mm high, constructed by 4 x 4 wooden stringers w/ 2x 6 decking;",59838,AST_EX_20220810_113210.jpeg,image/jpeg,2000-01-01,3022.0,4155.3,False,2026-04-28 08:50:10.685393+00,TBD,,,,TBD,,,TBD,,-1,structures.52128,No,No railings,,0,2000-01-01,0,0,,TBD,,2025-08-21,,,Not Applicable,,,,TBD,,TBD,,,,,,,,,No,1,Medium,TBD,TBD
data/citywide/images/337/51942/21399__AST_EX_20210911_124304.jpeg,True,skip,128309,51942,337,Boardwalk < 1.2m High,Boardwalk,"Fillongley Campground; Additional notes: Wood edging along trails, including raised flat surface lined by stacked wood.;",21399,AST_EX_20210911_124304.jpeg,image/jpeg,1995-01-01,10493.0,15000.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1,structures.51942,No,No railings,,1,,112,,,Timber/Wood,,2026-05-01,,,med,,,,Timber,,,,,,,,,,,,1,TBD,No,No
data/citywide/images/337/52244/40594__AST_EX_20220510_133402.jpeg,True,skip,137063,52244,337,Boardwalk < 1.2m High,Boardwalk,French Beach Group Site Boardwalk at Beach,40594,AST_EX_20220510_133402.jpeg,image/jpeg,2000-01-01,4975.0,6840.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1,structures.52244,No,No railings,,1,,125.00,,,Timber/Wood,,2025-05-10,,,med,,,,Timber,,,,,,,,,,,,1.00,TBD,No,No
data/citywide/images/337/52469/87886__AST_EX_20250914_165603.jpeg,True,skip,140987,52469,337,Boardwalk < 1.2m High,Boardwalk Barrier-Taylor Trail,replaced with wood bridge; SPLIT LOG 4M LONG;,87886,AST_EX_20250914_165603.jpeg,image/jpeg,1960-01-01,207.0,1800.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1.00,structures.52469,No,No railings,,1.00,,4.00,,,Timber/Wood,,2028-09-14,,,Not Applicable,,,,Timber,,,,,,,,,,,,0.00,TBD,TBD,TBD
data/citywide/images/337/51603/24211__AST_EX_20210923_125900.jpeg,True,skip,122022,51603,337,Boardwalk < 1.2m High,Boardwalk,Fox Lake; Item description: Boardwalk on Fox Lake Trail;,24211,AST_EX_20210923_125900.jpeg,image/jpeg,1995-01-01,47219.0,67500.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1,structures.51603,No,No,,1,,150,,,Timber/Wood,,2028-08-26,,,med,,,,Timber,,,,,,,,,,,,0,TBD,TBD,TBD
